NAICS,Description,Employees,Relative Size (RS),% Total
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing ,151,0.96914457,0%
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing ",23,0.078812008,0%
315280,Other Cut and Sew Apparel Manufacturing ,13,0.123918827,0%
315990,Apparel Accessories and Other Apparel Manufacturing ,43,0.447028211,0%
316110,Leather and Hide Tanning and Finishing,19,0.362634205,0%
316210,Footwear Manufacturing ,1257,8.525114508,0%
316992,Women's Handbag and Purse Manufacturing,7,0.381547492,0%
316998,All Other Leather Good and Allied Product Manufacturing ,96,0.78325221,0%
321113,Sawmills,29,0.031991966,0%
321114,Wood Preservation,12,0.089608922,0%
321211,Hardwood Veneer and Plywood Manufacturing,0,0,0%
321213,Engineered Wood Member (except Truss) Manufacturing,3,0.058273667,0%
321214,Truss Manufacturing,371,1.2766675,0%
321219,Reconstituted Wood Product Manufacturing,0,0,0%
321911,Wood Window and Door Manufacturing,722,1.153039412,0%
321912,"Cut Stock, Resawing Lumber, and Planing",68,0.220364939,0%
321918,Other Millwork (including Flooring),134,0.368002457,0%
321920,Wood Container and Pallet Manufacturing,252,0.392231526,0%
321991,Manufactured Home (Mobile Home) Manufacturing,181,0.666824591,0%
321992,Prefabricated Wood Building Manufacturing,50,0.31177252,0%
321999,All Other Miscellaneous Wood Product Manufacturing,79,0.225261655,0%
322121,Paper (except Newsprint) Mills,0,0,0%
322130,Paperboard Mills,0,0,0%
322211,Corrugated and Solid Fiber Box Manufacturing,503,0.497699646,0%
322212,Folding Paperboard Box Manufacturing,3,0.006075509,0%
322219,Other Paperboard Container Manufacturing ,7,0.025106507,0%
322220,Paper Bag and Coated and Treated Paper Manufacturing,75,0.12512167,0%
322230,Stationery Product Manufacturing,51,0.219813013,0%
322291,Sanitary Paper Product Manufacturing,7,0.031891829,0%
322299,All Other Converted Paper Product Manufacturing,47,0.257697757,0%
323111,Commercial Gravure Printing,2272,0.56129021,0%
323113,Commercial Screen Printing,512,0.68962928,0%
323117,Books Printing,57,0.215676633,0%
323120,Support Activities for Printing,93,0.29103528,0%
324110,Petroleum Refineries,169,0.212423303,0%
324121,Asphalt Paving Mixture and Block Manufacturing,57,0.308435716,0%
324122,Asphalt Shingle and Coating Materials Manufacturing,0,0,0%
324191,Petroleum Lubricating Oil and Grease Manufacturing,0,0,0%
324199,All Other Petroleum and Coal Products Manufacturing,0,0,0%
325110,Petrochemical Manufacturing,0,0,0%
325120,Industrial Gas Manufacturing,67,0.401419193,0%
325180,Other Basic Inorganic Chemical Manufacturing ,154,0.331112942,0%
325199,All Other Basic Organic Chemical Manufacturing,190,0.221909209,0%
325211,Plastics Material and Resin Manufacturing,98,0.115068867,0%
325212,Synthetic Rubber Manufacturing,0,0,0%
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,0,0,0%
325311,Nitrogenous Fertilizer Manufacturing,44,0.578538564,0%
325312,Phosphatic Fertilizer Manufacturing,0,0,0%
325314,Fertilizer (Mixing Only) Manufacturing,0,0,0%
325320,Pesticide and Other Agricultural Chemical Manufacturing,0,0,0%
325411,Medicinal and Botanical Manufacturing,1488,4.167091654,0%
325412,Pharmaceutical Preparation Manufacturing,974,0.546761714,0%
325413,In-Vitro Diagnostic Substance Manufacturing,342,1.101069931,0%
325414,Biological Product (except Diagnostic) Manufacturing,55,0.105900709,0%
325510,Paint and Coating Manufacturing,37,0.081876757,0%
325520,Adhesive Manufacturing,2,0.00759213,0%
325611,Soap and Other Detergent Manufacturing,57,0.194810058,0%
325612,Polish and Other Sanitation Good Manufacturing,420,2.167793244,0%
325620,Toilet Preparation Manufacturing,38,0.061776738,0%
325910,Printing Ink Manufacturing,14,0.111200823,0%
325991,Custom Compounding of Purchased Resins,3,0.013009308,0%
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",0,0,0%
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,47,0.11462426,0%
326111,Plastics Bag Manufacturing,0,0,0%
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,13,0.033133416,0%
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,179,0.374950621,0%
326121,Unlaminated Plastics Profile Shape Manufacturing,0,0,0%
326122,Plastics Pipe and Pipe Fitting Manufacturing,340,1.189062194,0%
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",2,0.014098311,0%
326140,Polystyrene Foam Product Manufacturing,79,0.272284393,0%
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,216,0.571513103,0%
326160,Plastics Bottle Manufacturing,0,0,0%
326191,Plastics Plumbing Fixture Manufacturing,114,0.553026551,0%
326199,All Other Plastics Product Manufacturing,868,0.20617496,0%
326211,Tire Manufacturing (except Retreading),2,0.003687255,0%
326212,Tire Retreading,91,1.088411577,0%
326220,Rubber and Plastics Hoses and Belting Manufacturing,2,0.008704206,0%
326291,Rubber Product Manufacturing for Mechanical Use,0,0,0%
326299,All Other Rubber Product Manufacturing,41,0.108621397,0%
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",11,0.068742456,0%
327120,Clay Building Material and Refractories Manufacturing ,288,1.108841367,0%
327211,Flat Glass Manufacturing,0,0,0%
327212,Other Pressed and Blown Glass and Glassware Manufacturing,8,0.047568998,0%
327215,Glass Product Manufacturing Made of Purchased Glass,110,0.180308299,0%
327310,Cement Manufacturing,358,2.21476702,0%
327331,Concrete Block and Brick Manufacturing,126,0.66023934,0%
327332,Concrete Pipe Manufacturing,96,0.870514205,0%
327410,Lime Manufacturing,175,3.061483249,0%
327420,Gypsum Product Manufacturing,2,0.018271288,0%
327910,Abrasive Product Manufacturing,3,0.018475459,0%
327991,Cut Stone and Stone Product Manufacturing,607,1.777696979,0%
327992,Ground or Treated Mineral and Earth Manufacturing,0,0,0%
327993,Mineral Wool Manufacturing,0,0,0%
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,47,0.348346119,0%
331110,Iron and Steel Mills and Ferroalloy Manufacturing ,79,0.062535205,0%
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,7,0.022716929,0%
331221,Rolled Steel Shape Manufacturing,0,0,0%
331222,Steel Wire Drawing,33,0.175981904,0%
331313,Alumina Refining and Primary Aluminum Production ,0,0,0%
331314,Secondary Smelting and Alloying of Aluminum,0,0,0%
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",0,0,0%
331318,"Other Aluminum Rolling, Drawing, and Extruding ",0,0,0%
331410,Nonferrous Metal (except Aluminum) Smelting and Refining ,0,0,0%
331420,"Copper Rolling, Drawing, Extruding, and Alloying",7,0.02446243,0%
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",3,0.013966762,0%
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",41,0.327014929,0%
331511,Iron Foundries,0,0,0%
331512,Steel Investment Foundries,75,0.440124552,0%
331513,Steel Foundries (except Investment),0,0,0%
331524,Aluminum Foundries (except Die-Casting),0,0,0%
331529,Other Nonferrous Metal Foundries (except Die-Casting) ,48,0.406371064,0%
332111,Iron and Steel Forging,45,0.157991831,0%
332112,Nonferrous Forging,0,0,0%
332114,Custom Roll Forming,201,0.692859175,0%
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",2,0.00308561,0%
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing ",0,0,0%
332216,Saw Blade and Handtool Manufacturing ,21,0.056746096,0%
332311,Prefabricated Metal Building and Component Manufacturing,64,0.198084266,0%
332312,Fabricated Structural Metal Manufacturing,562,0.490071787,0%
332313,Plate Work Manufacturing,252,0.594414875,0%
332321,Metal Window and Door Manufacturing,185,0.311188518,0%
332323,Ornamental and Architectural Metal Work Manufacturing,84,0.209007278,0%
332410,Power Boiler and Heat Exchanger Manufacturing,7,0.021339623,0%
332420,Metal Tank (Heavy Gauge) Manufacturing,93,0.202477294,0%
332431,Metal Can Manufacturing,4,0.019174985,0%
332439,Other Metal Container Manufacturing,33,0.211783687,0%
332510,Hardware Manufacturing,10,0.029660556,0%
332613,Spring Manufacturing ,7,0.03469837,0%
332618,Other Fabricated Wire Product Manufacturing,151,0.54255247,0%
332721,Precision Turned Product Manufacturing,693,0.5608033,0%
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",3,0.006759639,0%
332811,Metal Heat Treating,217,0.78863344,0%
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",164,0.250689906,0%
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",269,0.423467569,0%
332911,Industrial Valve Manufacturing,19,0.039723245,0%
332912,Fluid Power Valve and Hose Fitting Manufacturing,47,0.107778788,0%
332919,Other Metal Valve and Pipe Fitting Manufacturing,321,1.682770323,0%
332991,Ball and Roller Bearing Manufacturing,0,0,0%
332994,Small Arms Manufacturing,303,1.409397877,0%
332996,Fabricated Pipe and Pipe Fitting Manufacturing,110,0.281705021,0%
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,113,0.127606609,0%
333111,Farm Machinery and Equipment Manufacturing,42,0.052319749,0%
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,0,0,0%
333120,Construction Machinery Manufacturing,194,0.259037342,0%
333131,Mining Machinery and Equipment Manufacturing,0,0,0%
333132,Oil and Gas Field Machinery and Equipment Manufacturing,678,1.00397431,0%
333241,Food Product Machinery Manufacturing ,3,0.015004804,0%
333242,Semiconductor Machinery Manufacturing ,1847,9.989911879,0%
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",2,0.01194278,0%
333244,Printing Machinery and Equipment Manufacturing ,0,0,0%
333249,Other Industrial Machinery Manufacturing ,114,0.178641656,0%
333314,Optical Instrument and Lens Manufacturing,15,0.078835075,0%
333316,Photographic and Photocopying Equipment Manufacturing ,6,0.109556512,0%
333318,Other Commercial and Service Industry Machinery Manufacturing ,579,0.833801885,0%
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,182,0.598891833,0%
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,371,1.792645718,0%
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,755,0.698611917,0%
333511,Industrial Mold Manufacturing,22,0.052230873,0%
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",32,0.061297225,0%
333515,Cutting Tool and Machine Tool Accessory Manufacturing,92,0.266639981,0%
333517,Machine Tool Manufacturing ,27,0.08024722,0%
333519,Rolling Mill and Other Metalworking Machinery Manufacturing ,3,0.019687601,0%
333611,Turbine and Turbine Generator Set Units Manufacturing,3,0.007218113,0%
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",3,0.017857263,0%
333613,Mechanical Power Transmission Equipment Manufacturing,0,0,0%
333618,Other Engine Equipment Manufacturing,77,0.163033112,0%
333911,Pump and Pumping Equipment Manufacturing,0,0,0%
333913,Measuring and Dispensing Pump Manufacturing,753,16.86439915,0%
333921,Elevator and Moving Stairway Manufacturing,7,0.080801365,0%
333922,Conveyor and Conveying Equipment Manufacturing,75,0.171964044,0%
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",3,0.012386329,0%
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",0,0,0%
333991,Power-Driven Handtool Manufacturing,31,0.304376091,0%
333992,Welding and Soldering Equipment Manufacturing,31,0.158059129,0%
333993,Packaging Machinery Manufacturing,103,0.415061676,0%
333995,Fluid Power Cylinder and Actuator Manufacturing,0,0,0%
333996,Fluid Power Pump and Motor Manufacturing,0,0,0%
333997,Scale and Balance (except Laboratory) Manufacturing,3,0.07304822,0%
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,95,0.148366232,0%
334111,Electronic Computer Manufacturing,2001,12.56728091,0%
334112,Computer Storage Device Manufacturing,35,0.33590597,0%
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,274,1.059729696,0%
334210,Telephone Apparatus Manufacturing,42,0.28386693,0%
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,209,0.253506964,0%
334290,Other Communications Equipment Manufacturing,113,0.704189308,0%
334310,Audio and Video Equipment Manufacturing,10,0.086768878,0%
334412,Bare Printed Circuit Board Manufacturing,208,0.724062879,0%
334413,Semiconductor and Related Device Manufacturing,6086,5.25280885,1%
334416,"Electronic Coil, Transformer, and Other Inductor Manufacturing",0,0,0%
334417,Electronic Connector Manufacturing,370,1.596925753,0%
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,259,0.398361945,0%
334419,Other Electronic Component Manufacturing,309,0.530273052,0%
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,871,1.092175866,0%
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",163,0.108628872,0%
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",173,1.317531184,0%
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",241,0.528135583,0%
334514,Totalizing Fluid Meter and Counting Device Manufacturing,622,3.200017167,0%
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,711,1.802824808,0%
334516,Analytical Laboratory Instrument Manufacturing,163,0.313958731,0%
334517,Irradiation Apparatus Manufacturing,0,0,0%
334519,Other Measuring and Controlling Device Manufacturing,293,0.647712478,0%
334613,Magnetic and Optical Recording Media Manufacturing,35,2.621021183,0%
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing ",3,0.028920314,0%
335110,Electric Lamp Bulb and Part Manufacturing,73,1.223272196,0%
335121,Residential Electric Lighting Fixture Manufacturing,28,0.322719503,0%
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",119,0.516354526,0%
335129,Other Lighting Equipment Manufacturing,5,0.032677878,0%
335210,Small Electrical Appliance Manufacturing,7,0.056006639,0%
335221,Household Cooking Appliance Manufacturing,0,0,0%
335228,Other Major Household Appliance Manufacturing,0,0,0%
335311,"Power, Distribution, and Specialty Transformer Manufacturing",85,0.334376937,0%
335312,Motor and Generator Manufacturing,442,1.126808627,0%
335313,Switchgear and Switchboard Apparatus Manufacturing,111,0.2705675,0%
335314,Relay and Industrial Control Manufacturing,55,0.126997912,0%
335911,Storage Battery Manufacturing,0,0,0%
335912,Primary Battery Manufacturing,15,0.183441615,0%
335921,Fiber Optic Cable Manufacturing,0,0,0%
335929,Other Communication and Energy Wire Manufacturing,0,0,0%
335931,Current-Carrying Wiring Device Manufacturing,35,0.105833388,0%
335932,Noncurrent-Carrying Wiring Device Manufacturing,0,0,0%
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,379,1.056918226,0%
336111,Automobile Manufacturing,2,0.002050508,0%
336112,Light Truck and Utility Vehicle Manufacturing,2500,2.682338585,1%
336120,Heavy Duty Truck Manufacturing,0,0,0%
336211,Motor Vehicle Body Manufacturing,42,0.078444278,0%
336212,Truck Trailer Manufacturing,29,0.069192662,0%
336213,Motor Home Manufacturing,29,0.218470283,0%
336214,Travel Trailer and Camper Manufacturing,0,0,0%
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,8,0.011496429,0%
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,130,0.171896808,0%
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,20,0.045591779,0%
336340,Motor Vehicle Brake System Manufacturing,2,0.007446637,0%
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,89,0.107607543,0%
336360,Motor Vehicle Seating and Interior Trim Manufacturing,1108,1.46341449,0%
336370,Motor Vehicle Metal Stamping,640,0.547617657,0%
336390,Other Motor Vehicle Parts Manufacturing,1266,0.770491856,0%
336411,Aircraft Manufacturing,1594,0.877287783,0%
336412,Aircraft Engine and Engine Parts Manufacturing,260,0.332227897,0%
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,237,0.176143079,0%
336510,Railroad Rolling Stock Manufacturing,0,0,0%
336611,Ship Building and Repairing,0,0,0%
336612,Boat Building,17,0.038848585,0%
336991,"Motorcycle, Bicycle, and Parts Manufacturing",26,0.185479855,0%
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",0,0,0%
336999,All Other Transportation Equipment Manufacturing,17,0.099477719,0%
337110,Wood Kitchen Cabinet and Countertop Manufacturing,735,0.681894034,0%
337121,Upholstered Household Furniture Manufacturing,78,0.108849392,0%
337122,Nonupholstered Wood Household Furniture Manufacturing,95,0.266637473,0%
337124,Metal Household Furniture Manufacturing,3,0.024410498,0%
337125,Household Furniture (except Wood and Metal) Manufacturing,5,0.113001871,0%
337127,Institutional Furniture Manufacturing,509,1.710364862,0%
337211,Wood Office Furniture Manufacturing,5,0.02910867,0%
337214,Office Furniture (except Wood) Manufacturing,175,0.666592097,0%
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",101,0.233278229,0%
337910,Mattress Manufacturing,375,1.461487725,0%
337920,Blind and Shade Manufacturing,143,1.039486672,0%
339112,Surgical and Medical Instrument Manufacturing,851,0.675859384,0%
339113,Surgical Appliance and Supplies Manufacturing,468,0.423233277,0%
339114,Dental Equipment and Supplies Manufacturing,75,0.409993496,0%
339115,Ophthalmic Goods Manufacturing,50,0.163010354,0%
339910,Jewelry and Silverware Manufacturing ,593,1.876071868,0%
339920,Sporting and Athletic Goods Manufacturing,189,0.413471804,0%
339930,"Doll, Toy, and Game Manufacturing",26,0.323788494,0%
339940,Office Supplies (except Paper) Manufacturing,40,0.288157183,0%
339991,"Gasket, Packing, and Sealing Device Manufacturing",9,0.024811939,0%
339992,Musical Instrument Manufacturing,125,0.8600073,0%
339993,"Fastener, Button, Needle, and Pin Manufacturing",0,0,0%
339994,"Broom, Brush, and Mop Manufacturing",0,0,0%
339995,Burial Casket Manufacturing,0,0,0%
339999,All Other Miscellaneous Manufacturing,338,0.57062155,0%
423210,Furniture Merchant Wholesalers,735,0.93862798,0%
423220,Home Furnishing Merchant Wholesalers,572,0.573489431,0%
423410,Photographic Equipment and Supplies Merchant Wholesalers,69,0.379284075,0%
423420,Office Equipment Merchant Wholesalers,1121,0.861126158,0%
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,2498,1.148044657,1%
423440,Other Commercial Equipment Merchant Wholesalers,541,0.958607206,0%
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",4586,1.996461785,1%
423460,Ophthalmic Goods Merchant Wholesalers,38,0.1485368,0%
423490,Other Professional Equipment and Supplies Merchant Wholesalers,222,0.539979896,0%
423510,Metal Service Centers and Other Metal Merchant Wholesalers,1272,0.697791807,0%
423520,Coal and Other Mineral and Ore Whsle,3,0.059930345,0%
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant  Wholesalers",2170,0.885400949,0%
423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers",256,0.433627909,0%
423690,Other Electronic Parts and Equipment Merchant Wholesalers,12065,3.648568248,2%
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,1507,1.363812693,0%
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,358,0.275718124,0%
423830,Industrial Machinery and Equipment Merchant Wholesalers,2889,0.635453664,1%
423840,Industrial Supplies Merchant Wholesalers,405,0.364473183,0%
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,766,1.335262414,0%
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,587,1.351786419,0%
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,368,0.514755556,0%
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,168,0.431564213,0%
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",217,0.383884886,0%
424110,Printing and Writing Paper Merchant Wholesalers,117,0.790835552,0%
424120,Stationery and Office Supplies Merchant Wholesalers,370,0.45543528,0%
424130,Industrial and Personal Service Paper Merchant Wholesalers,640,0.830017492,0%
424210,Drugs and Druggists' Sundries Merchant Wholesalers,1656,0.522242595,0%
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",74,0.244162924,0%
424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,57,0.081320279,0%
424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",391,0.368531128,0%
424340,Footwear Merchant Wholesalers,12,0.037072761,0%
424440,Poultry and Poultry Product Merchant Wholesalers,380,3.020299594,0%
424460,Fish and Seafood Merchant Wholesalers,58,0.219874826,0%
424470,Meat and Meat Product Merchant Wholesalers,822,1.514435425,0%
424480,Fresh Fruit and Vegetable Merchant Wholesalers,1054,0.82420231,0%
424510,Grain and Field Bean Merchant Wholesalers,59,0.094873903,0%
424520,Livestock Merchant Wholesalers,19,0.245009622,0%
424590,Other Farm Product Raw Material Merchant Wholesalers,39,0.481064634,0%
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,164,0.411878103,0%
424690,Other Chemical and Allied Products Merchant Wholesalers,798,0.57779588,0%
424710,Petroleum Bulk Stations and Terminals,944,1.023214695,0%
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),167,0.536714308,0%
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,1449,1.429219805,0%
424910,Farm Supplies Merchant Wholesalers,162,0.141453488,0%
